year,month,day,hour,minute,second,atrack,xtrack,lat,lon,surf_alt,solar_zenith_angle,solar_azimuth_angle,surf_air_temp_masked,surf_temp_masked,surf_spec_hum_masked,h2o_vap_tot_masked,cloud_liquid_water_masked,atmosphere_mass_content_of_cloud_ice_masked
2015.0,7.0,4.0,0.0,38.0,50.0,60.0,34.0,27.7,19.5,230.72484,0.7451259940673831,-1.1093197850029257,0.7591655683238941,-0.3030037227118201,0.5665953639245684,0.28430262234767484,-0.7758271106237343,-0.5313163907353988
2015.0,7.0,4.0,11.0,54.0,38.0,10.0,74.0,28.9,23.9,97.9618,-1.5127680788820124,1.6687316785099418,1.405670241292435,2.2289834947513345,0.08774845791558193,-0.0019580130043466105,-0.7758271106237343,-0.5313163907353988
2015.0,7.0,4.0,5.5,46.0,30.0,30.0,45.5,29.7,22.6,60.839,-0.4272730161287597,0.27070027562263066,1.1471550777220016,1.0485463195217823,0.1770289410812229,0.0780479263106449,-0.7758271106237343,-0.5313163907353988
2015.0,7.0,4.0,5.5,46.0,30.5,30.0,46.5,30.4,22.8,83.91898,-0.4287143842515087,0.2615486537681374,1.1012937478368163,1.077657444670926,0.3092413504839342,-0.051140012138442346,-0.7758271106237343,-0.5313163907353988
2015.0,7.0,4.0,0.0,37.0,54.0,39.0,26.0,30.7,22.0,91.90323,0.6661793578256746,-1.09499013223188,0.46301503110918163,-0.21464830492969908,-1.3377697466820537,-0.4102695607734385,-0.5904967920450943,0.15017886672950134
2015.0,7.0,4.0,11.0,55.0,51.0,38.0,22.0,31.7,13.1,710.5786,-1.666544771917193,1.3347376942378095,0.8364050668459666,2.428774804688347,-0.03868294356791483,-0.46786647120645897,-0.7758271106237343,-0.5313163907353988
2015.0,7.0,4.0,5.801694915254237,32.984557438794724,29.58738229755179,72.0472693032015,44.2241054613936,31.8,7.1,360.8741483223134,-0.4606855906694933,-0.08368240479387745,0.9901189036183403,0.7506338266085008,1.0773122285939347,1.0656933085517368,-0.5922028427146467,-0.18441499085192112
2015.0,7.0,4.0,0.0,38.0,3.0,42.0,84.0,31.8,10.3,362.30103,0.7431088192262599,-1.2387682887442133,0.5138450661535315,0.644661373644951,1.0526931189534654,-0.07458107135325134,-0.7758271106237343,-0.5313163907353988
2015.0,7.0,4.0,0.0,37.0,44.0,35.0,51.0,32.0,17.8,0.0,0.6808892513434108,-1.1487676566612919,0.9754834947780089,0.9602575271482565,1.9728454277936023,0.5726309674181972,-0.7274009553441807,-0.5313163907353988
2015.0,7.0,4.0,5.801694915254237,32.984557438794724,29.58738229755179,72.0472693032015,44.2241054613936,32.5,-0.2,360.8741483223134,-0.4606855906694933,-0.08368240479387745,0.9901189036183403,0.7506338266085008,1.0773122285939347,1.0656933085517368,-0.5922028427146467,-0.18441499085192112
