lat,lon,year,month,day,hour,minute,second,atrack,xtrack,surf_alt,solar_zenith_angle,solar_azimuth_angle,surf_air_temp_masked,surf_temp_masked,surf_spec_hum_masked,h2o_vap_tot_masked,cloud_liquid_water_masked,atmosphere_mass_content_of_cloud_ice_masked
27.7,19.5,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
28.9,23.9,2013.0,4.0,16.0,5.5,9.5,34.0,20.0,44.0,96.2753,-0.2267517756531792,0.0521831073529296,0.1936989256691509,0.4717934027801171,-0.7305511488704953,-0.5019375471081514,-0.742981319220133,-0.3763474580643974
29.7,22.6,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
30.4,22.8,2013.0,4.0,16.0,0.0,1.0,33.0,31.0,64.0,82.424614,0.992510972166819,-1.0910570797544443,-0.3265247059021339,-0.3944090055917471,0.1950071083684981,-0.651234503411417,-0.5859182443837239,0.1112687427543556
30.7,22.0,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
31.7,13.1,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
31.8,7.1,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
31.8,10.3,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
32.0,17.8,2013.0,4.0,16.0,0.0,1.0,15.0,24.0,85.0,0.0,1.0072080827136958,-1.1784429872676772,0.1538505950756899,0.1447550844623281,0.6373921697163701,-0.3712858171830654,1.190841985230966,0.5380097912426561
32.5,-0.2,2013.0,4.0,16.0,13.0,0.0,37.0,10.0,45.0,898.1613,-1.3801235761616568,1.1509658748788798,1.0581901802293725,1.5247425285190157,-0.3493275155531032,-0.3416295739061005,-0.7758271106237343,-0.5313163907353988
32.5,18.0,2013.0,4.0,16.0,11.0,19.0,30.0,30.0,13.0,0.0,-1.4396162718850656,0.9633611164811362,0.344345151769684,0.2270598564395499,0.8740260020409906,-0.4293541070470586,-0.5959719186200277,-0.5313163907353988
32.6,19.9,2013.0,4.0,16.0,0.0,1.0,2.0,19.0,79.0,0.0,0.9785169250171756,-1.1504950121159274,0.2636918083976773,0.1635659886856136,1.5886776243831215,-0.3032750312813723,0.893424118024946,-0.115115584390024
32.7,30.0,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
32.9,6.9,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,0.35345469002151314,-0.21920857195957286,-0.6342563179523779,0.8846435823542236,-0.5464540491137999,-0.3642720633713715,-0.402187828651321,-0.5846331716473572
32.9,8.9,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
32.9,11.7,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
32.9,16.4,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
33.0,5.3,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
33.0,6.9,2013.0,4.0,16.0,1.0,41.0,54.0,129.0,19.0,104.5239,0.9777198436640057,-0.9125451079319051,1.0654183864372948,-0.03087556869391886,-0.18683719655735437,1.4065070990609565,0.2569093605501874,-0.15071649970605328
33.0,19.6,2013.0,4.0,16.0,0.0,0.0,56.0,17.0,80.0,0.0,0.9739509800640423,-1.156043335191086,0.2120088156577849,0.1609883117610558,1.2019684423021024,-0.496884521209032,0.9704339954812126,0.0318181457200917
33.0,20.0,2013.0,4.0,16.0,7.567079463364294,24.91769865841073,29.709236326109387,69.72729618163054,42.18988648090815,360.5184791239087,-0.3220060590662009,0.0415923460619426,-0.0349575067152482,-0.107864209097456,0.0701952110959549,-0.1547929815605143,-0.3031425846876833,-0.1409905311549737
33.1,18.0,2013.0,4.0,16.0,0.0,0.0,56.0,17.0,85.0,0.0,0.9843774763638352,-1.1819267067878696,-0.1630226853018233,-0.0463878964314325,-1.5825700383878896,-1.0791188276897536,1.2907197938696835,0.9684385516526752
